fn_name,parameters,description,return_statement,c_implementation
bloom_filter_query,"BloomFilter *bloomfilter, BloomFilterValue value",,0 | 1,"
int bloom_filter_query(BloomFilter *bloomfilter, BloomFilterValue value)
{
	unsigned int hash;
	unsigned int subhash;
	unsigned int index;
	unsigned int i;
	unsigned char b;
	int bit;

	/* Generate hash of the value to lookup */
	hash = bloomfilter->hash_func(value);

	/* Generate multiple unique hashes by XORing with values in the
	 * salt table. */
	for (i = 0; i < bloomfilter->num_functions; ++i) {

		/* Generate a unique hash */
		subhash = hash ^ salts[i];

		/* Find the index into the table to test */
		index = subhash % bloomfilter->table_size;

		/* The byte at index / 8 holds the value to test */
		b = bloomfilter->table[index / 8];
		bit = 1 << (index % 8);

		/* Test if the particular bit is set; if it is not set,
		 * this value can not have been inserted. */
		if ((b & bit) == 0) {
			return 0;
		}
	}

	/* All necessary bits were set.  This may indicate that the value
	 * was inserted, or the values could have been set through other
	 * insertions. */
	return 1;
}"
bloom_filter_read,"BloomFilter *bloomfilter, unsigned char *array","All necessary bits were set.  This may indicate that the value
was inserted, or the values could have been set through other
insertions.",null,"
void bloom_filter_read(BloomFilter *bloomfilter, unsigned char *array)
{
	unsigned int array_size;

	/* The table is an array of bits, packed into bytes.  Round up
	 * to the nearest byte. */
	array_size = (bloomfilter->table_size + 7) / 8;

	/* Copy into the buffer of the calling routine. */
	memcpy(array, bloomfilter->table, array_size);
}"
bloom_filter_load,"BloomFilter *bloomfilter, unsigned char *array",Copy into the buffer of the calling routine.,null,"
void bloom_filter_load(BloomFilter *bloomfilter, unsigned char *array)
{
	unsigned int array_size;

	/* The table is an array of bits, packed into bytes.  Round up
	 * to the nearest byte. */
	array_size = (bloomfilter->table_size + 7) / 8;

	/* Copy from the buffer of the calling routine. */
	memcpy(bloomfilter->table, array, array_size);
}"
int_equal,"void *vlocation1, void *vlocation2",Comparison functions for a pointer to an integer,*location1 == *location2,"
int int_equal(void *vlocation1, void *vlocation2)
{
	int *location1;
	int *location2;

	location1 = (int *) vlocation1;
	location2 = (int *) vlocation2;

	return *location1 == *location2;
}"
int_compare,"void *vlocation1, void *vlocation2",,-1 | 1 | 0,"
int int_compare(void *vlocation1, void *vlocation2)
{
	int *location1;
	int *location2;

	location1 = (int *) vlocation1;
	location2 = (int *) vlocation2;

	if (*location1 < *location2) {
		return -1;
	} else if (*location1 > *location2) {
		return 1;
	} else {
		return 0;
	}
}"
pointer_equal,"void *location1, void *location2",Comparison functions for a generic void pointer,location1 == location2,"
int pointer_equal(void *location1, void *location2)
{
	return location1 == location2;
}"
pointer_compare,"void *location1, void *location2",,-1 | 1 | 0,"
int pointer_compare(void *location1, void *location2)
{
	if (location1 < location2) {
		return -1;
	} else if (location1 > location2) {
		return 1;
	} else {
		return 0;
	}
}"
string_nocase_equal,"void *string1, void *string2",,"string_nocase_compare((char *) string1, (char *) string2) == 0","int string_nocase_equal(void *string1, void *string2)
{
	return string_nocase_compare((char *) string1, (char *) string2) == 0;
}"
string_nocase_compare,"void *string1, void *string2",,-1 | 1 | 0,"int string_nocase_compare(void *string1, void *string2)
{
	char *p1;
	char *p2;
	int c1, c2;

	/* Iterate over each character in the strings */
	p1 = (char *) string1;
	p2 = (char *) string2;

	for (;;) {

		c1 = tolower(*p1);
		c2 = tolower(*p2);

		if (c1 != c2) {

			/* Strings are different */
			if (c1 < c2) {
				return -1;
			} else {
				return 1;
			}
		}

		/* End of string */
		if (c1 == '\0') {
			break;
		}

		/* Advance to the next character */
		++p1;
		++p2;
	}

	/* Reached the end of string and no difference found */
	return 0;
}"
hash_table_allocate_table,HashTable *hash_table,,hash_table->table != NULL,"static int hash_table_allocate_table(HashTable *hash_table)
{
	unsigned int new_table_size;

	/* Determine the table size based on the current prime index.
	 * An attempt is made here to ensure sensible behavior if the
	 * maximum prime is exceeded, but in practice other things are
	 * likely to break long before that happens. */
	if (hash_table->prime_index < hash_table_num_primes) {
		new_table_size = hash_table_primes[hash_table->prime_index];
	} else {
		new_table_size = hash_table->entries * 10;
	}

	hash_table->table_size = new_table_size;

	/* Allocate the table and initialise to NULL for all entries */
	hash_table->table =
	    calloc(hash_table->table_size, sizeof(HashTableEntry *));

	return hash_table->table != NULL;
}"
hash_table_free_entry,"HashTable *hash_table, HashTableEntry *entry",,null,"static void hash_table_free_entry(HashTable *hash_table, HashTableEntry *entry)
{
	HashTablePair *pair;

	pair = &(entry->pair);

	/* If there is a function registered for freeing keys, use it to free
	 * the key */
	if (hash_table->key_free_func != NULL) {
		hash_table->key_free_func(pair->key);
	}

	/* Likewise with the value */
	if (hash_table->value_free_func != NULL) {
		hash_table->value_free_func(pair->value);
	}

	/* Free the data structure */
	free(entry);
}"
hash_table_free,HashTable *hash_table,,null,"
void hash_table_free(HashTable *hash_table)
{
	HashTableEntry *rover;
	HashTableEntry *next;
	unsigned int i;

	/* Free all entries in all chains */
	for (i = 0; i < hash_table->table_size; ++i) {
		rover = hash_table->table[i];
		while (rover != NULL) {
			next = rover->next;
			hash_table_free_entry(hash_table, rover);
			rover = next;
		}
	}

	/* Free the table */
	free(hash_table->table);

	/* Free the hash table structure */
	free(hash_table);
}"
hash_table_register_free_functions,"HashTable *hash_table, HashTableKeyFreeFunc key_free_func, HashTableValueFreeFunc value_free_func",Free the hash table structure,null,"
void hash_table_register_free_functions(HashTable *hash_table,
                                        HashTableKeyFreeFunc key_free_func,
                                        HashTableValueFreeFunc value_free_func)
{
	hash_table->key_free_func = key_free_func;
	hash_table->value_free_func = value_free_func;
}"
hash_table_enlarge,HashTable *hash_table,,0 | 1,"
static int hash_table_enlarge(HashTable *hash_table)
{
	HashTableEntry **old_table;
	unsigned int old_table_size;
	unsigned int old_prime_index;
	HashTableEntry *rover;
	HashTablePair *pair;
	HashTableEntry *next;
	unsigned int index;
	unsigned int i;

	/* Store a copy of the old table */
	old_table = hash_table->table;
	old_table_size = hash_table->table_size;
	old_prime_index = hash_table->prime_index;

	/* Allocate a new, larger table */
	++hash_table->prime_index;

	if (!hash_table_allocate_table(hash_table)) {

		/* Failed to allocate the new table */
		hash_table->table = old_table;
		hash_table->table_size = old_table_size;
		hash_table->prime_index = old_prime_index;

		return 0;
	}

	/* Link all entries from all chains into the new table */
	for (i = 0; i < old_table_size; ++i) {
		rover = old_table[i];

		while (rover != NULL) {
			next = rover->next;

			/* Fetch rover HashTablePair */
			pair = &(rover->pair);

			/* Find the index into the new table */
			index = hash_table->hash_func(pair->key) %
			        hash_table->table_size;

			/* Link this entry into the chain */
			rover->next = hash_table->table[index];
			hash_table->table[index] = rover;

			/* Advance to next in the chain */
			rover = next;
		}
	}

	/* Free the old table */
	free(old_table);

	return 1;
}"
hash_table_insert,"HashTable *hash_table, HashTableKey key, HashTableValue value",,0 | 1 | pair->value | hash_table_null_value | result | hash_table->entries | iterator->next_entry != NULL | pair,"
int hash_table_insert(HashTable *hash_table, HashTableKey key,
                      HashTableValue value)
{
	HashTableEntry *rover;
	HashTablePair *pair;
	HashTableEntry *newentry;
	unsigned int index;

	/* If there are too many items in the table with respect to the table
	 * size, the number of hash collisions increases and performance
	 * decreases. Enlarge the table size to prevent this happening */
	if ((hash_table->entries * 3) / hash_table->table_size > 0) {

		/* Table is more than 1/3 full */
		if (!hash_table_enlarge(hash_table)) {

			/* Failed to enlarge the table */
			return 0;
		}
	}

	/* Generate the hash of the key and hence the index into the table */
	index = hash_table->hash_func(key) % hash_table->table_size;

	/* Traverse the chain at this location and look for an existing
	 * entry with the same key */
	rover = hash_table->table[index];

	while (rover != NULL) {

		/* Fetch rover's HashTablePair entry */
		pair = &(rover->pair);

		if (hash_table->equal_func(pair->key, key) != 0) {

			/* Same key: overwrite this entry with new data */
			/* If there is a value free function, free the old data
			 * before adding in the new data */
			if (hash_table->value_free_func != NULL) {
				hash_table->value_free_func(pair->value);
			}

			/* Same with the key: use the new key value and free
			 * the old one */
			if (hash_table->key_free_func != NULL) {
				hash_table->key_free_func(pair->key);
			}

			pair->key = key;
			pair->value = value;

			/* Finished */
			return 1;
		}

		rover = rover->next;
	}

	/* Not in the hash table yet.  Create a new entry */
	newentry = (HashTableEntry *) malloc(sizeof(HashTableEntry));

	if (newentry == NULL) {
		return 0;
	}

	newentry->pair.key = key;
	newentry->pair.value = value;

	/* Link into the list */
	newentry->next = hash_table->table[index];
	hash_table->table[index] = newentry;

	/* Maintain the count of the number of entries */
	++hash_table->entries;

	/* Added successfully */
	return 1;
}

HashTableValue hash_table_lookup(HashTable *hash_table, HashTableKey key)
{
	HashTableEntry *rover;
	HashTablePair *pair;
	unsigned int index;

	/* Generate the hash of the key and hence the index into the table */
	index = hash_table->hash_func(key) % hash_table->table_size;

	/* Walk the chain at this index until the corresponding entry is
	 * found */
	rover = hash_table->table[index];

	while (rover != NULL) {
		pair = &(rover->pair);

		if (hash_table->equal_func(key, pair->key) != 0) {

			/* Found the entry.  Return the data. */
			return pair->value;
		}

		rover = rover->next;
	}

	/* Not found */
	return hash_table_null_value;
}

int hash_table_remove(HashTable *hash_table, HashTableKey key)
{
	HashTableEntry **rover;
	HashTableEntry *entry;
	HashTablePair *pair;
	unsigned int index;
	int result;

	/* Generate the hash of the key and hence the index into the table */
	index = hash_table->hash_func(key) % hash_table->table_size;

	/* Rover points at the pointer which points at the current entry
	 * in the chain being inspected.  ie. the entry in the table, or
	 * the ""next"" pointer of the previous entry in the chain.  This
	 * allows us to unlink the entry when we find it. */
	result = 0;
	rover = &hash_table->table[index];

	while (*rover != NULL) {

		pair = &((*rover)->pair);

		if (hash_table->equal_func(key, pair->key) != 0) {

			/* This is the entry to remove */
			entry = *rover;

			/* Unlink from the list */
			*rover = entry->next;

			/* Destroy the entry structure */
			hash_table_free_entry(hash_table, entry);

			/* Track count of entries */
			--hash_table->entries;

			result = 1;

			break;
		}

		/* Advance to the next entry */
		rover = &((*rover)->next);
	}

	return result;
}

unsigned int hash_table_num_entries(HashTable *hash_table)
{
	return hash_table->entries;
}

void hash_table_iterate(HashTable *hash_table, HashTableIterator *iterator)
{
	unsigned int chain;

	iterator->hash_table = hash_table;

	/* Default value of next if no entries are found. */
	iterator->next_entry = NULL;

	/* Find the first entry */
	for (chain = 0; chain < hash_table->table_size; ++chain) {

		if (hash_table->table[chain] != NULL) {
			iterator->next_entry = hash_table->table[chain];
			iterator->next_chain = chain;
			break;
		}
	}
}

int hash_table_iter_has_more(HashTableIterator *iterator)
{
	return iterator->next_entry != NULL;
}

HashTablePair hash_table_iter_next(HashTableIterator *iterator)
{
	HashTableEntry *current_entry;
	HashTable *hash_table;
	HashTablePair pair = {HASH_TABLE_KEY_NULL, HASH_TABLE_NULL};
	unsigned int chain;

	hash_table = iterator->hash_table;

	if (iterator->next_entry == NULL) {
		return pair;
	}

	/* Result is immediately available */
	current_entry = iterator->next_entry;
	pair = current_entry->pair;

	/* Find the next entry */
	if (current_entry->next != NULL) {

		/* Next entry in current chain */
		iterator->next_entry = current_entry->next;

	} else {

		/* None left in this chain, so advance to the next chain */
		chain = iterator->next_chain + 1;

		/* Default value if no next chain found */
		iterator->next_entry = NULL;

		while (chain < hash_table->table_size) {

			/* Is there anything in this chain? */
			if (hash_table->table[chain] != NULL) {
				iterator->next_entry = hash_table->table[chain];
				break;
			}

			/* Try the next chain */
			++chain;
		}

		iterator->next_chain = chain;
	}

	return pair;
}
"
hash_table_remove,"HashTable *hash_table, HashTableKey key",Not found,result,"
int hash_table_remove(HashTable *hash_table, HashTableKey key)
{
	HashTableEntry **rover;
	HashTableEntry *entry;
	HashTablePair *pair;
	unsigned int index;
	int result;

	/* Generate the hash of the key and hence the index into the table */
	index = hash_table->hash_func(key) % hash_table->table_size;

	/* Rover points at the pointer which points at the current entry
	 * in the chain being inspected.  ie. the entry in the table, or
	 * the ""next"" pointer of the previous entry in the chain.  This
	 * allows us to unlink the entry when we find it. */
	result = 0;
	rover = &hash_table->table[index];

	while (*rover != NULL) {

		pair = &((*rover)->pair);

		if (hash_table->equal_func(key, pair->key) != 0) {

			/* This is the entry to remove */
			entry = *rover;

			/* Unlink from the list */
			*rover = entry->next;

			/* Destroy the entry structure */
			hash_table_free_entry(hash_table, entry);

			/* Track count of entries */
			--hash_table->entries;

			result = 1;

			break;
		}

		/* Advance to the next entry */
		rover = &((*rover)->next);
	}

	return result;
}"
hash_table_iterate,"HashTable *hash_table, HashTableIterator *iterator",,null,"
void hash_table_iterate(HashTable *hash_table, HashTableIterator *iterator)
{
	unsigned int chain;

	iterator->hash_table = hash_table;

	/* Default value of next if no entries are found. */
	iterator->next_entry = NULL;

	/* Find the first entry */
	for (chain = 0; chain < hash_table->table_size; ++chain) {

		if (hash_table->table[chain] != NULL) {
			iterator->next_entry = hash_table->table[chain];
			iterator->next_chain = chain;
			break;
		}
	}
}"
hash_table_iter_has_more,HashTableIterator *iterator,,iterator->next_entry != NULL,"
int hash_table_iter_has_more(HashTableIterator *iterator)
{
	return iterator->next_entry != NULL;
}"
list_free,ListEntry *list,Null value that can be returned without creating a local variable,null,"
void list_free(ListEntry *list)
{
	ListEntry *entry;

	/* Iterate over each entry, freeing each list entry, until the
	 * end is reached */
	entry = list;

	while (entry != NULL) {
		ListEntry *next;

		next = entry->next;

		free(entry);

		entry = next;
	}
}"
list_set_data,"ListEntry *listentry, ListValue value",,null,"
void list_set_data(ListEntry *listentry, ListValue value)
{
	if (listentry != NULL) {
		listentry->data = value;
	}
}"
list_remove_entry,"ListEntry **list, ListEntry *entry",,0 | 1 | entries_removed | NULL | *list | pivot | more_list_end | rover | *iter->prev_next != NULL | iter->current->next != NULL | list_null_value | iter->current->data,"
int list_remove_entry(ListEntry **list, ListEntry *entry)
{
	/* If the list is empty, or entry is NULL, always fail */
	if (list == NULL || *list == NULL || entry == NULL) {
		return 0;
	}

	/* Action to take is different if the entry is the first in the list */
	if (entry->prev == NULL) {

		/* Unlink the first entry and update the starting pointer */
		*list = entry->next;

		/* Update the second entry's prev pointer, if there is a second
		 * entry */
		if (entry->next != NULL) {
			entry->next->prev = NULL;
		}

	} else {

		/* This is not the first in the list, so we must have a
		 * previous entry.  Update its 'next' pointer to the new
		 * value */
		entry->prev->next = entry->next;

		/* If there is an entry following this one, update its 'prev'
		 * pointer to the new value */
		if (entry->next != NULL) {
			entry->next->prev = entry->prev;
		}
	}

	/* Free the list entry */
	free(entry);

	/* Operation successful */
	return 1;
}

unsigned int list_remove_data(ListEntry **list, ListEqualFunc callback,
                              ListValue data)
{
	unsigned int entries_removed;
	ListEntry *rover;
	ListEntry *next;

	if (list == NULL || callback == NULL) {
		return 0;
	}

	entries_removed = 0;

	/* Iterate over the entries in the list */
	rover = *list;

	while (rover != NULL) {

		next = rover->next;

		if (callback(rover->data, data)) {

			/* This data needs to be removed.  Unlink this entry
			 * from the list. */
			if (rover->prev == NULL) {

				/* This is the first entry in the list */
				*list = rover->next;
			} else {

				/* Point the previous entry at its new
				 * location */
				rover->prev->next = rover->next;
			}

			if (rover->next != NULL) {
				rover->next->prev = rover->prev;
			}

			/* Free the entry */
			free(rover);

			++entries_removed;
		}

		/* Advance to the next list entry */
		rover = next;
	}

	return entries_removed;
}

/* Function used internally for sorting.  Returns the last entry in the
 * new sorted list */
static ListEntry *list_sort_internal(ListEntry **list,
                                     ListCompareFunc compare_func)
{
	ListEntry *pivot;
	ListEntry *rover;
	ListEntry *less_list, *more_list;
	ListEntry *less_list_end, *more_list_end;

	if (list == NULL || compare_func == NULL) {
		return NULL;
	}

	/* If there are less than two entries in this list, it is
	 * already sorted */
	if (*list == NULL || (*list)->next == NULL) {
		return *list;
	}

	/* The first entry is the pivot */
	pivot = *list;

	/* Iterate over the list, starting from the second entry.  Sort
	 * all entries into the less and more lists based on comparisons
	 * with the pivot */
	less_list = NULL;
	more_list = NULL;
	rover = (*list)->next;

	while (rover != NULL) {
		ListEntry *next = rover->next;

		if (compare_func(rover->data, pivot->data) < 0) {

			/* Place this in the less list */
			rover->prev = NULL;
			rover->next = less_list;
			if (less_list != NULL) {
				less_list->prev = rover;
			}
			less_list = rover;

		} else {

			/* Place this in the more list */
			rover->prev = NULL;
			rover->next = more_list;
			if (more_list != NULL) {
				more_list->prev = rover;
			}
			more_list = rover;
		}

		rover = next;
	}

	/* Sort the sublists recursively */
	less_list_end = list_sort_internal(&less_list, compare_func);
	more_list_end = list_sort_internal(&more_list, compare_func);

	/* Create the new list starting from the less list */
	*list = less_list;

	/* Append the pivot to the end of the less list.  If the less list
	 * was empty, start from the pivot */
	if (less_list == NULL) {
		pivot->prev = NULL;
		*list = pivot;
	} else {
		pivot->prev = less_list_end;
		less_list_end->next = pivot;
	}

	/* Append the more list after the pivot */
	pivot->next = more_list;
	if (more_list != NULL) {
		more_list->prev = pivot;
	}

	/* Work out what the last entry in the list is.  If the more list was
	 * empty, the pivot was the last entry.  Otherwise, the end of the
	 * more list is the end of the total list. */
	if (more_list == NULL) {
		return pivot;
	} else {
		return more_list_end;
	}
}

void list_sort(ListEntry **list, ListCompareFunc compare_func)
{
	list_sort_internal(list, compare_func);
}

ListEntry *list_find_data(ListEntry *list, ListEqualFunc callback,
                          ListValue data)
{
	ListEntry *rover;

	/* Iterate over entries in the list until the data is found */
	for (rover = list; rover != NULL; rover = rover->next) {
		if (callback(rover->data, data) != 0) {
			return rover;
		}
	}

	/* Not found */
	return NULL;
}

void list_iterate(ListEntry **list, ListIterator *iter)
{
	/* Start iterating from the beginning of the list. */
	iter->prev_next = list;

	/* We have not yet read the first item. */
	iter->current = NULL;
}

int list_iter_has_more(ListIterator *iter)
{
	if (iter->current == NULL || iter->current != *iter->prev_next) {

		/* Either we have not read the first entry, the current
		 * item was removed or we have reached the end of the
		 * list.  Use prev_next to determine if we have a next
		 * value to iterate over. */
		return *iter->prev_next != NULL;

	} else {
		/* The current entry as not been deleted since the last
		 * call to list_iter_next: there is a next entry if
		 * current->next is not NULL */
		return iter->current->next != NULL;
	}
}

ListValue list_iter_next(ListIterator *iter)
{
	if (iter->current == NULL || iter->current != *iter->prev_next) {

		/* Either we are reading the first entry, we have reached
		 * the end of the list, or the previous entry was removed.
		 * Get the next entry with iter->prev_next. */
		iter->current = *iter->prev_next;

	} else {

		/* Last value returned from list_iter_next was not deleted.
		 * Advance to the next entry. */
		iter->prev_next = &iter->current->next;
		iter->current = iter->current->next;
	}

	/* Have we reached the end of the list? */
	if (iter->current == NULL) {
		return list_null_value;
	} else {
		return iter->current->data;
	}
}

void list_iter_remove(ListIterator *iter)
{
	if (iter->current == NULL || iter->current != *iter->prev_next) {

		/* Either we have not yet read the first item, we have
		 * reached the end of the list, or we have already removed
		 * the current value.  Either way, do nothing. */
	} else {

		/* Remove the current entry */
		*iter->prev_next = iter->current->next;

		if (iter->current->next != NULL) {
			iter->current->next->prev = iter->current->prev;
		}

		free(iter->current);
		iter->current = NULL;
	}
}
"
list_sort,"ListEntry **list, ListCompareFunc compare_func",,null,"
void list_sort(ListEntry **list, ListCompareFunc compare_func)
{
	list_sort_internal(list, compare_func);
}"
list_iterate,"ListEntry **list, ListIterator *iter",Not found,null,"
void list_iterate(ListEntry **list, ListIterator *iter)
{
	/* Start iterating from the beginning of the list. */
	iter->prev_next = list;

	/* We have not yet read the first item. */
	iter->current = NULL;
}"
list_iter_has_more,ListIterator *iter,We have not yet read the first item.,*iter->prev_next != NULL | iter->current->next != NULL,"
int list_iter_has_more(ListIterator *iter)
{
	if (iter->current == NULL || iter->current != *iter->prev_next) {

		/* Either we have not read the first entry, the current
		 * item was removed or we have reached the end of the
		 * list.  Use prev_next to determine if we have a next
		 * value to iterate over. */
		return *iter->prev_next != NULL;

	} else {
		/* The current entry as not been deleted since the last
		 * call to list_iter_next: there is a next entry if
		 * current->next is not NULL */
		return iter->current->next != NULL;
	}
}"
list_iter_remove,ListIterator *iter,,null,"
void list_iter_remove(ListIterator *iter)
{
	if (iter->current == NULL || iter->current != *iter->prev_next) {

		/* Either we have not yet read the first item, we have
		 * reached the end of the list, or we have already removed
		 * the current value.  Either way, do nothing. */
	} else {

		/* Remove the current entry */
		*iter->prev_next = iter->current->next;

		if (iter->current->next != NULL) {
			iter->current->next->prev = iter->current->prev;
		}

		free(iter->current);
		iter->current = NULL;
	}
}"
queue_free,Queue *queue,,null,"
void queue_free(Queue *queue)
{
	/* Empty the queue */
	while (!queue_is_empty(queue)) {
		queue_pop_head(queue);
	}

	/* Free back the queue */
	free(queue);
}"
queue_push_head,"Queue *queue, QueueValue data",Free back the queue,0 | 1,"
int queue_push_head(Queue *queue, QueueValue data)
{
	QueueEntry *new_entry;

	/* Create the new entry and fill in the fields in the structure */
	new_entry = malloc(sizeof(QueueEntry));

	if (new_entry == NULL) {
		return 0;
	}

	new_entry->data = data;
	new_entry->prev = NULL;
	new_entry->next = queue->head;

	/* Insert into the queue */
	if (queue->head == NULL) {

		/* If the queue was previously empty, both the head and
		 * tail must be pointed at the new entry */
		queue->head = new_entry;
		queue->tail = new_entry;

	} else {

		/* First entry in the list must have prev pointed back to this
		 * new entry */
		queue->head->prev = new_entry;

		/* Only the head must be pointed at the new entry */
		queue->head = new_entry;
	}

	return 1;
}"
queue_push_tail,"Queue *queue, QueueValue data",,0 | 1,"
int queue_push_tail(Queue *queue, QueueValue data)
{
	QueueEntry *new_entry;

	/* Create the new entry and fill in the fields in the structure */
	new_entry = malloc(sizeof(QueueEntry));

	if (new_entry == NULL) {
		return 0;
	}

	new_entry->data = data;
	new_entry->prev = queue->tail;
	new_entry->next = NULL;

	/* Insert into the queue tail */
	if (queue->tail == NULL) {

		/* If the queue was previously empty, both the head and
		 * tail must be pointed at the new entry */
		queue->head = new_entry;
		queue->tail = new_entry;

	} else {

		/* The current entry at the tail must have next pointed to this
		 * new entry */
		queue->tail->next = new_entry;

		/* Only the tail must be pointed at the new entry */
		queue->tail = new_entry;
	}

	return 1;
}"
queue_is_empty,Queue *queue,,queue->head == NULL,"
int queue_is_empty(Queue *queue)
{
	return queue->head == NULL;
}"
